var_name,acs_col,universe_col,pretty_name_count,pretty_name_proportion,interpolation
mobile_homes,B25024_010,B25024_001,Total mobile homes (count),Percent of mobile homes (proportion of all housing structures),TRUE
owner_occ_tenure,B25038_002,,"Owner occupied housing, tenure determined",,TRUE
owner_occ_moved_in_1999_to_1990,B25038_007,B25038_002,Owner occupied households who moved in 1990 to 1999 (count),Percent of owner occupied households who moved in 1990 to 1999 (proportion of all owner occupied housing),TRUE
owner_occ_moved_in_1989_earlier,B25038_008,B25038_002,Owner occupied households who moved in 1989 or earlier (count),Percent of owner occupied households who moved in 1989 or earlier (proportion of all owner occupied housing),TRUE
renter_occ_tenure,B25038_009,,"Renter occupied households, tenure determined",,TRUE
renter_occ_moved_in_1999_to_1990,B25038_014,B25038_009,Renter occupied households who moved in 1990 to 1999 (count),Percent of renter occupied households who moved in 1990 to 1999 (proportion of all renter occupied housing,TRUE
renter_occ_moved_in_1989_earlier,B25038_015,B25038_009,Renter occupied households who moved in 1989 or earlier (count),Percent of renter occupied households who moved in 1989 or earlier (proportion of all renter ocuppied households),TRUE
total_occupied_housing_units_tele,B25043_001,,"Occupied housing units, telephone determined (count)",,TRUE
total_owner_occupied_housing_tele,B25043_002,B25043_001,"Owner occupied housing units, telephone determined (count)","Percent of owner occupied housing units, telephone determined (proportion of all occupied housing units, tenure determined)",TRUE
no_phone_owner,B25043_007,B25043_002,Owner occupied households without a telephone (count),Percent of households without a telephone (proportion of all households),TRUE
renter_occupied,B25043_011,B25003_001,Renter-occupied households (count),Percent of housing units that are renter-occupied (percent of all housing units),TRUE
renter_occupied,B25043_011,B25003_001,Renter-occupied households (count),Percent of housing units that are renter-occupied (percent of all housing units),TRUE
no_phone_renter,B25043_016,B25043_011,Renter occupied households without a telephone (count),Percent of renter occupied households without a telephone (proportion of all households),TRUE
Occupied_housing_vehicle_determined,B25044_001,,"Total occupied housing units, vehicles determined",,TRUE
total_owner_occ_housing_units_vehic,B25044_002,B25044_001,"Owner occupied housing units, vehicles determined (count)","Percent of owner occupied housing units, vehicles determined (proportion of all households with vehicles determined)",TRUE
owner_no_vehicle,B25044_003 ,B25044_002,Owner occupied households with no vehicles available (count),Percent of owner occupied households with no vehicle available (Porportion out of all owner occupied households),TRUE
total_renter_occ_vehicles,B25044_009,B25044_001,"Total renter occupied households, vehicles determined (count)","Percent of renter occupied housing units, vehicles determined (proportion of all households with vehicles determined)",TRUE
renter_no_vehicle,B25044_010,B25044_009,Renter occupied households with no vehicles available (count),Percent of renter occupied households with no vehicle available (Proportion of all renter occupied households),TRUE
renter_occupied,B25070_001,,Renter-occupied units,,TRUE
renter_occupied_cost_50_or_more,B25070_010,B25070_001,Renter-occupied households with rental costs 50% or more of income,Percent of renter-occupied households with rental costs 50% or more of income (proportion of all renter-occupied units),TRUE
med_home_val,B25077_001,,Median Home value (dollars),,FALSE
owner_occupied,B25091_001,,owner-occupied housing units,,TRUE
owner_occ_w_mortgage,B25091_002,B25091_001,Owner-occupied housing units with a mortgage (count),Percent of owner-occupied housing units with a mortgage (proportion of all owner-occupied housing),TRUE
owner_occupied_w_mortgage_cost_50_or_more,B25091_011,B25091_002,Owner-occupied households with a mortgate & with rental costs 50% or more of income,Percent of owner-occupied households with a mortgage and with rental costs 50% or more of income (proportion of all renter-occupied units),TRUE
owner_occ_wo_mortgage,B25091_013,B25091_001,Owner-occupied housing units without a mortgage (count),Percent of owner-occupied housing units without a mortgage (proportion of all owner-occupied housing),TRUE
owner_occ_wo_mortgage_cost_50_or_more,B25091_022,B25091_013,Owner-occupied households without a mortgate & with rental costs 50% or more of income,Percent of owner-occupied households without a mortgage and with rental costs 50% or more of income (proportion of all renter-occupied units),TRUE
total_occupied_housing_year,B25129_001,,"Occupied housing units, year determined (count)",,TRUE
total_owner_occ_housing_year,B25129_002,B25129_001,"Owner occupied housing units, tenure determined (count)","Percent of owner occupied housing units, tenure determined (proportion of all occupied housing units, tenure determined)",TRUE
owner_occupied_recent_move,B25129_003,B25129_002,Owner occupied housing with residents who recently moved in (2015 or later; count),Percent of owner occupied housing with residents who recently moved in (Proportion of all owner occupied housing),TRUE
total_renter_occ_housing_year,B25129_038,B25129_001,"Total renter occupied units, tenure determined (count)","Percent of renter occupied units, tenure determined (proportion of all occupied units, tenure determined)",TRUE
renter_occupied_recent_move,B25129_039,B25129_038,Renter occupied housing with residents who recently moved in (2015 or later; count),Percent of renter occupied housing with residents who recently moved in (proportion of all renter occupied housing),TRUE
group_quarters,B26001_001,,Persons in group a quarters (count),,TRUE
males_16_older_workforce,C24030_002,,Males 16 and older in the workforce,,TRUE
males_in_professional_occup,C24030_018,C24030_002,"Males 16 and older in a Professional, Scientific, or Technical occupations (count)","Percent of males 16 and older in a Professional, Scientific, And Technical occupation (proportion of all residents 16 and older)",TRUE
males_in_management,C24030_019,C24030_002,"Males 16 and older in a management, business, science, or arts occupation (count)","Percent of males 16 and older in a management, business, science, or arts occupation (proportion of all residents 16 and older)",TRUE
females_16_older_workforce,C24030_029,,Females 16 and older in the workforce,,TRUE
females_in_professional_occup,C24030_045,C24030_029,"Females 16 and older in a Professional, Scientific, or Technical occupations (count)","Percent of females 16 and older in a Professional, Scientific, And Technical occupation (proportion of all residents 16 and older)",TRUE
females_in_management,C24030_046,C24030_029,"Females 16 and older in a management, business, science, or arts occupation (count)","Percent of females 16 and older in a management, business, science, or arts occupation (proportion of all residents 16 and older)",TRUE
employed_pop_16_above,C24060_001,,Civilian employed population 16 and older (count),,TRUE
mgmt_busi_sci_arts_occup,C24060_002,C24060_001,"Residents 16 and older in a management, business, science, or arts occupation (count)","Percent of residents 16 and older in a manage+F113ment, business, science, or arts occupation (proportion of all residents 16 and older)",TRUE
hhincome_less_than_10k,B19001_002,B19001_001,"Households with income of less than 10,000 (count)",,TRUE
hhincome_50k_to_59k,B19001_011,B19001_001,"Households with income of 50,000 to 59,999 (count)",,TRUE
hhincome_60k_to_74k,B19001_012,B19001_001,"Households with income of 60,000 to 74,999 (count)",,TRUE
hhincome_75k_to_99k,B19001_013,B19001_001,"Households with income of 75,000 to 99,999 (count)",,TRUE
hhincome_100k_to_124k,B19001_014,B19001_001,"Households with income of 100,000 to 124,999 (count)",,TRUE
hhincome_125k_to_149k,B19001_015,B19001_001,"Households with income of 125,000 to 149,999(count)",,TRUE
hhincome_150k_to_199k,B19001_016,B19001_001,"Households with income of 150,000 to 199,999 (count)",,TRUE
hhincome_200k_or_more,B19001_017,B19001_001,"Households with income of 200,000 or more (count)",,TRUE
median_rent,B25064_001,,Median monthly rent (dollars),,FALSE
median_mortgage,B25088_002,,Median monthly housing costs for housing units with a mortgage (dollars),,FALSE
total_pop_poverty_level_deter,B06012_001,,Total population for whom poverty level is determined (count),,TRUE
pop_below_100_poverty_threshold,B06012_002,B06012_001,Population below 100% of the poverty level (count),Percent of population below 100% of the poverty level (proportion of total population for whome poverty status is determined),TRUE
pop_100_to_149_poverty_threshold,B06012_003,B06012_001,Population at 100 to 149 percent of the poverty level (count),Percent of population at 100 to 149 percent of the poverty level (proportion of total populatoin for whom poverty status is determined),TRUE
household_income_25_29k,B19001_006,B19001_001,"Households earning $25,000 to $29,999 (count)","Percent of households earning $25,000 to $29,999 (proportion of all households)",TRUE
household_income_20_24k,B19001_005,B19001_001,"Households earning $20,000 to 24,999 (count)","Percent of households earning $20,000 to $24,999 (proportion of all households)",TRUE
houseohld_income_15_19k,B19001_004,B19001_001,"Households earning $15,000 to 19,999 (count)","Percent of households earning $15,000 to $19,999 (proportion of all households)",TRUE
household_income_10_14k,B19001_003,B19001_001,"Households earning $10,000 to 14,999 (count)","Percent of households earning $10,000 to $14,999 (proportion of all housedholds)",TRUE
household_income_under_10k,B19001_002,B19001_001,"Households earning less than $10,000 (count)","Percent of households earning less than $10,000 (proportion of all households)",TRUE
nh_black_alone,B03002_004,B03002_001,Non-Hispanic black residents,Percent of non-Hispanic Black residents (proporiton of all residents),TRUE
owner_occ_moved_in_1989_earlier,B25038_008,B25038_002,Owner occupied households who moved in 1989 or earlier (count),Percent of owner occupied households who moved in 1989 or earlier (proportion of all owner occupied housing),TRUE
owner_occ_moved_in_1999_to_1990,B25038_007,B25038_002,Owner occupied households who moved in 1990 to 1999 (count),Percent of owner occupied households who moved in 1990 to 1999 (proportion of all owner occupied housing),TRUE
renter_occ_moved_in_1989_earlier,B25038_015,B25038_009,Renter occupied households who moved in 1989 or earlier (count),Percent of renter occupied households who moved in 1989 or earlier (proportion of all renter ocuppied households),TRUE
renter_occ_moved_in_1999_to_1990,B25038_014,B25038_009,Renter occupied households who moved in 1990 to 1999 (count),Percent of renter occupied households who moved in 1990 to 1999 (proportion of all renter occupied housing,TRUE
